id,name,image_url,status,details
1,"MacBook Pro 16"" M3 Max",/Assets/Images/products/product_1_v_a_tao_dwmpcfb5sg_unsplash.jpg,OK,"image/jpeg 6000x4000"
2,"LG UltraWide 38"" 3440x1440",/Assets/Images/products/product_2_luke_peters_rdxfszxybqu_unsplash.jpg,OK,"image/jpeg 4896x3264"
3,"Logitech Brio 4K",/Assets/Images/products/product_3_attached_product_3_retry.jpg,FILE_NOT_FOUND,"C:\Users\jules\Downloads\pp\NovaShop Pro\scripts/../Public/Assets/Images/products/product_3_attached_product_3_retry.jpg"
4,"Shure SM7B",/Assets/Images/products/product_4_kofi_nartey_sheuuuazrde_unsplash.jpg,OK,"image/jpeg 5690x4024"
5,"Portable Charger 50000mAh",/Assets/Images/products/product_5_rille_camera_strap_ycuatmlaaoo_unsplash.jpg,OK,"image/jpeg 1955x2607"
6,"Tablet Samsung Galaxy Tab",/Assets/Images/products/product_6_triyansh_gill_qnhux2hketk_unsplash.jpg,OK,"image/jpeg 5308x3227"
7,"BenQ PD2700U",/Assets/Images/products/product_7_thai_nguyen_ylqefa_pva_unsplash.jpg,OK,"image/jpeg 6240x4160"
8,"Veste Cuir Noir Premium",/Assets/Images/products/product_8_nynne_schroder_li9nxkipbb0_unsplash.jpg,OK,"image/jpeg 2605x3908"
9,"Jeans Slim Bleu Délavé",/Assets/Images/products/product_9_anna_evans_eelirbjxbpk_unsplash.jpg,OK,"image/jpeg 3472x4624"
10,"Chemise Oxford Blanche",/Assets/Images/products/product_10_russell_moore_dfk3z6fdn84_unsplash.jpg,OK,"image/jpeg 5184x3456"
11,"T-Shirt Col V Premium",/Assets/Images/products/product_11_zoshua_colah_emmldnwor_i_unsplash.jpg,OK,"image/jpeg 7584x5395"
12,"Pull Laine Mérinos Gris",/Assets/Images/products/product_12_panos_katsigiannis_77pehhpzhe_unsplash.jpg,OK,"image/jpeg 2169x3253"
13,"Sneakers Blanches Design",/Assets/Images/products/product_13_savernake_knives_f4jl2ezowum_unsplash.jpg,OK,"image/jpeg 6156x5040"
14,"Accessoires Mode Ceinture",/Assets/Images/products/product_14_ricardo_resende_jyji3inxz6s_unsplash.jpg,OK,"image/jpeg 2669x4003"
15,"Montre Designer Homme",/Assets/Images/products/product_15_swabdesign_jwz3ghxo8g4_unsplash.jpg,OK,"image/jpeg 3000x4500"
16,"Lunettes Soleil Aviateur",/Assets/Images/products/product_16_luke_peters_rdxfszxybqu_unsplash.jpg,OK,"image/jpeg 4896x3264"
17,"Écharpe Soie Premium",/Assets/Images/products/product_17_karsten_winegeart_7ufby4uhiuk_unsplash.jpg,OK,"image/jpeg 8760x5840"
18,"Clean Code - Robert Martin",/Assets/Images/products/product_18_robert_levonyan_xb93bunjtqa_unsplash.jpg,OK,"image/jpeg 5920x4000"
19,"The Pragmatic Programmer",/Assets/Images/products/product_19_the_new_york_public_library_kx360rhdbqu_.jpg,OK,"image/jpeg 4362x6978"
20,"Design Patterns - Gang of Four",/Assets/Images/products/product_20_lucrezia_carnelos_6n4y0ovz1ou_unsplash.jpg,OK,"image/jpeg 6240x4160"
21,"Atomic Habits - James Clear",/Assets/Images/products/product_21_rohan_krishnan_d8kp7epgamq_unsplash.jpg,OK,"image/jpeg 4160x4553"
22,"Zero to One - Peter Thiel",/Assets/Images/products/product_22_arno_senoner_ocxvxwtfwqe_unsplash.jpg,OK,"image/jpeg 3024x4032"
23,"Python for Data Science",/Assets/Images/products/product_23_gemini_generated_image_v9v6fcv9v6fcv9v6.png,OK,"image/png 1920x544"
24,"Web Development with React",/Assets/Images/products/product_24_jj_shev_p0np7x_r73s_unsplash.jpg,OK,"image/jpeg 5184x3888"
25,"Machine Learning Foundations",/Assets/Images/products/product_25_manmohan_singh_83aefvhhbwg_unsplash.jpg,OK,"image/jpeg 3983x2987"
26,"Lampe de Bureau LED Ajustable",/Assets/Images/products/product_26_nimble_made_gdebknrytd4_unsplash.jpg,OK,"image/jpeg 6720x4480"
27,"Plante Monstera Artificielle",/Assets/Images/products/product_27_patrick_martin_umlt0bviaek_unsplash.jpg,OK,"image/jpeg 4032x3024"
28,"Miroir Mural Doré Octagonal",/Assets/Images/products/product_28_ana_catalina_gzz_owlb_aobany_unsplash.jpg,OK,"image/jpeg 4000x6000"
29,"Étagères Flottantes Design",/Assets/Images/products/product_29_aboodi_vesakaran_dwrtrv5jbsu_unsplash.jpg,OK,"image/jpeg 9504x6336"
30,"Fauteuil Lounge Scandinave",/Assets/Images/products/product_30_sherif_maliqi_ug7mo427tei_unsplash.jpg,OK,"image/jpeg 4000x3000"
31,"Tapis Persan Premium",/Assets/Images/products/product_31_puscas_adryan_kpwmh_9otg4_unsplash.jpg,OK,"image/jpeg 3000x3000"
32,"Vélo Gravel Premium",/Assets/Images/products/product_32_zoshua_colah_emmldnwor_i_unsplash.jpg,OK,"image/jpeg 7584x5395"
33,"Tapis de Yoga Premium",/Assets/Images/products/product_33_thai_nguyen_ylqefa_pva_unsplash.jpg,OK,"image/jpeg 6240x4160"
34,"Chaussures Trail Running",/Assets/Images/products/product_34_surja_sen_das_raj_mjxm7kpbt8m_unsplash.jpg,OK,"image/jpeg 3857x5786"
35,"Gourde Isotherme Inox",/Assets/Images/products/product_35_altumcode_ze007sngcde_unsplash.jpg,OK,"image/jpeg 3886x4743"
